Start Time (s),Duration (s),Text
410.919,7.161,जाए तुम बताओ कैसे करते हैं बेटियों की
414.879,7.281,शादी तुमने तो माशाल्लाह से तीन बेटिया बई
418.08,6.839,है ना इ कब कुछ करता है अल्लाह करता है जो
422.16,5.479,करता है और वैसे भी तुम्हें रूमी की तरफ
424.919,5.201,से परेशान होने की कोई जरूरत नहीं मेरी
427.639,6.96,इतनी प्यारी दोस्त की बेटी में कोई कमी हो
430.12,8.24,सकती है भला और अगर तुम इजाजत दो तो मैं
434.599,3.761,उसे बना लू अपनी चौथी
438.919,6.161,बेटी मैं समझी नहीं क्या कह रही हो क्या
441.599,5.761,मतलब अरे अपनी लती बहू बना लू तुम्हारी
445.08,2.28,बेटी
447.72,6.199,को कौन रमी
450.52,5.44,वो तो भी बहुत छोटा सा है ना छोटा नहीं अब
453.919,4.96,तो माशाल्लाह इतना बड़ा हो गया है एड़ी
455.96,5.9,उठा के देखती हूं उसे नजर ना लगे
458.879,23.241,माशाल्लाह आर्किटेक्ट हो गया है
461.86,22.619,[संगीत]
482.12,2.359,तुमसे
484.52,4.639,मिलना और उसके बाद एक रस्मा सरसरी
489.919,3.601,ताल्लुक एक बात सच
494.159,9.841,कह पहले मेरे जहन में तुम्हारे हवाले
499.639,8.321,से कोई जजबा नहीं था बस
504.0,6.759,एक कि समीन अहमद एक पा किरदार और सुलझी
507.96,4.959,हुई लड़की है मैं तुम्हारी इज्जत करने लगा
510.759,2.16,था
513.719,6.041,स और तुम्हें पता है
517.0,3.88,कि मर्द की मोहब्बत से ज्यादा अहम चीज
519.76,5.36,क्या होती
520.88,7.519,है उसकी जानिब से दी हुई इजत बगैर किसी
525.12,8.92,लालच की क्योंकि मुझे तुमसे कोई लालच नहीं
528.399,6.121,थी और व व ताई ने जो कुछ भी कहा ऐसा कुछ
534.04,2.84,भी नहीं
534.52,5.96,[संगीत]
536.88,4.88,था हाला से इंतकाम ले ने के लिए या या
540.48,3.84,उससे कोई ताल्लुक रखने के लिए मैंने
541.76,6.88,तुम्हें हथियार बनाया
544.32,9.12,नहीं तो तुम खुद बताओ स यह सब करने के लिए
548.64,4.8,मेरे पास और कितने रास्ते थे हां
554.94,49.82,[संगीत]
600.519,6.981,वो राबिया याद है ना मेरी जो दोस्त जिसका
604.76,5.92,मिया शिप पे होता था याद है
607.5,6.26,[संगीत]
610.68,6.279,नहीं सुबह सुबह किस बात की तहीर बांधना
613.76,6.68,चाह रही हो शाहजहां मुझे क्या जरूरत है तद
616.959,7.201,बांधने की उसका बेटा है रमीज रूमी के लिए
620.44,7.04,उसका रिश्ता लाना चाह रही है रूमी का
624.16,6.239,रिश्ता ये अचानक कहां से टपका
627.48,6.08,है ये क्या लफ्ज हुआ टपका
630.399,7.841,है आप कहे अल्हम्दुलिल्लाह बिस्मिल्लाह
633.56,7.36,करो ऐसे ही बिस्मिल्लाह कर आंखें बंद करके
638.24,4.159,तुम्हारी दोस्त का बेटा है उम्मीद ही कर
640.92,3.56,सकते हैं कि अच्छा
642.399,6.281,होगा
644.48,7.159,रे कभी कभी तुमने जिंदगी में खाश को
648.68,5.04,छाना उससे ज्यादा छान फटक करूंगा अपनी
651.639,4.44,बेटी के रिश्ते के लिए हां तो आप उससे
653.72,6.359,मिलिए तो सही ना मिलने को ही कह रही हूं
656.079,6.32,इंशाल्लाह छान फटक की जरूरत नहीं रहेगी
660.079,6.281,तुम्हें जल्दी किस बात की है रूमी भागी जा
662.399,7.081,रही है कहीं और घर के हालात तो देखो किस
666.36,6.88,तरह के हैं हाला हॉस्पिटल में है घर
669.48,6.68,बिल्कुल बेतरतीब पड़ा है हाला का क्या
673.24,5.039,जिक्र है यहां आपकी इत्तला के लिए मो
676.16,5.56,दबाना अर्ज है कि वह इस घर को छोड़कर जा
678.279,7.201,चुकी है हमेशा के लिए खस कम जहां
681.72,5.72,पाक और बिल फर्ज खुदा नखता खुदान स्ता वो
685.48,4.479,यहां होती भी तो मैं तो उसे कमरे में बंद
687.44,4.399,कर देती आपको याद
689.959,3.841,रूमी और समीन का रिश्ता जब आया था कैसे
691.839,5.56,अपनी अदाओ से लकर उन्हे अपनी तरफ कर लिया
693.8,5.159,था तब तो आप भी आग बगला हो गए थे तब की
697.399,7.281,बात तब थी
698.959,9.32,ना अब हालात बहू है इस घर की और
704.68,6.04,मैं मैं तुम्हारा ही पूछने वाला था आ जाओ
708.279,7.161,कब आ रही है तुम्हारी बीवी वापस
710.72,9.359,भाईब डॉक्टर जजत और डॉक्टर ने क्या
715.44,7.0,कहा जदा पर उमीद नहीं है
720.079,5.721,बस मैं यहां डॉक्टर नामा सुनने के लिए
722.44,6.24,नहीं बैठी हूं हमजा शाम को घर पर ही मौजूद
725.8,5.8,रहना शाम को मुझे हॉस्पिटल जाना है हालाकि
728.68,6.159,डॉक्टर से मीटिंग है तुम्हारी बहन के लिए
731.6,8.239,इतना अहम दिन है और तुम मौजूद नहीं
734.839,6.661,होग ए मतलब रूमी का रिश्ता आ रहा
739.839,6.361,है रूमी
741.5,4.7,[संगीत]
746.959,7.041,का रूमी का रिश्ता उसकी ज क्या हसने खेलने
751.32,5.04,के दिन है उसके और उसकी एजुकेशन लेटर
754.0,2.36,कंपलीट
756.56,6.18,[संगीत]
760.32,2.84,ट आ जांगा टाइम
762.74,8.98,[प्रशंसा]
763.16,13.16,[संगीत]
771.72,6.32,पर बेट हाला की फाइल रखो मैं जरा नीचे
776.32,3.24,जाकर चेक करता हूं कि गाड़ी गेट पर आई की
778.04,3.76,नहीं
779.56,5.519,और तुम्हें पैदल चलने की बिल्कुल जरूरत
781.8,6.12,नहीं है इसे इस्तेमाल जरूर करना ठीक है
785.079,2.841,मैं बस अभी आता
791.48,9.71,हूं आराम से आ
794.18,7.01,[संगीत]
810.44,5.04,एक कंफ्यूजन
812.959,5.24,है उस घर में नहीं जाना चाहती हो कि मेरे
815.48,2.719,साथ नहीं जाना चाहती
823.0,5.8,हो आखरी फैसला है
825.48,3.32,तुम्हारा हा
829.8,4.279,हमजा पहली बार अपने लिए फैसला
836.519,7.361,लिया और अगर ये गलत भी हुआ
840.279,3.601,मैं इस पर पछता करर खुश ही
844.04,4.32,होंगी क्योंकि मैंने खुद लिया है
848.839,4.961,फैसला किसी को ब्लेम नहीं
851.34,5.7,[संगीत]
853.8,5.599,करूंगी फैसला मैंने अपने लिए और अपने
857.04,4.719,बच्चे के लिए लिया है बच्चे के लिए मां और
859.399,5.0,बाप दोनों जरूरी होते हैं ला ये मुझसे
861.759,5.561,ज्यादा अच्छा कोई नहीं समझ सकता तुम उे
864.399,6.0,प्रेशराइज नहीं कर सकते पता है
867.32,5.84,हा मैं बोलूंगी और तुम्हें सुनना होगा
870.399,7.68,जिंदगी में पहली बार कोई बोला है हाला के
873.16,7.88,लिए पहली बार तुम्हें ऐसा लगता है
878.079,6.721,ला मैं नहीं बोला तुम्हारे लिए हर मोड़ पर
881.04,6.599,दादी नहीं रहती थी तुम्हारी साइड
884.8,5.64,बताओ बोलने और आईना दिखाने में बहुत फर्क
887.639,5.801,होता है हमजा कभी आईना दिखाया था किसी ने
890.44,3.0,मम
895.32,6.809,बस छोड़ दो मरियम कर देगी
898.35,3.779,[संगीत]
902.399,7.721,ये इश्क तुम ना करना ये रोग ही
907.199,4.44,लगाए ुद करे
910.12,7.079,है
911.639,11.521,बनाए आश के दिल में ये आस भी
917.199,5.961,लगाए को बुज के ये आग भी
926.8,4.159,लगाए नहीं हाला
940.639,6.801,कुछ वक्त खुद के साथ रहना
944.639,6.12,चाहती कुछ व अकेले जीना
947.44,8.839,[संगीत]
950.759,8.371,चाहती इस माहौल से इन बातों से नजरों
956.279,14.24,से लहज से दूर
959.13,16.12,[संगीत]
970.519,17.551,अप बहुत बहुत अ हो गया मैंने सास भी नहीं
975.25,16.249,[संगीत]
988.07,3.429,[प्रशंसा]
991.52,16.3,[संगीत]
1009.36,8.12,यह लड़का अच्छा लगा मुझे रमीज मतलब काफी
1013.6,7.64,वेल मैने है मैं तो इस बात पर हैरान हूं
1017.48,7.88,कि यह खातून जो है इतनी बावक इतनी पढ़ी
1021.24,7.319,लिखी इतनी सुलझी हुई खातून शाहजन की बचपन
1025.36,3.199,की सहेली कैसे हो सकती
1028.679,5.841,है तुम्हें क्या हुआ रोमी तुम इतने चुप
1032.28,2.24,क्यों
1034.6,7.319,हो मुझे नहीं करनी है शादी
1038.12,6.319,अभी चलो जब करनी होगी बता देना डेट तुमसे
1041.919,2.52,पूछ के रख
1044.64,4.0,लेंगे रूमी
1050.76,8.159,हमजा महाला को कब छुट्टी हो रही हो
1055.28,5.44,गई हो गई तो कहां है
1058.919,5.921,वो
1060.72,6.52,वो उसने आने से इंकार कर दी क्या मुझे
1064.84,4.76,मालूम था आज का दिन बहुत अच्छा है आज मुझे
1067.24,5.24,अपनी औलाद के हवाले से दो खुशखबरी
1069.6,7.0,मिली तुम अपनी बकवास बंद
1072.48,7.52,रखो और तुम अजीब आदमी हो उसने आने से
1076.6,5.68,इंकार कर दिया और तुम मान गए घसीट के लाना
1080.0,6.08,था आपने साथ किस तरह के मर्द हो
1082.28,6.36,तुम अपने अब्बू के साथ गई अबू क्या हो गया
1086.08,6.479,लड़कियां जाती है अपने बाप के घर अरे भाई
1088.64,7.24,तो यूं कहो ना यार तो कब आ रही है
1092.559,6.441,फिर पता नहीं
1095.88,6.72,मैंने मतलब उसने बताया नहीं और मैंने और
1099.0,8.08,तुमने पूछने की हिम्मत नहीं की यही
1102.6,8.88,ना कह सकते हैं डर रहा था कि इनकार ना कर
1107.08,5.88,दे तो जान छूट जाती ना जो लोग जिस्मो जान
1111.48,5.04,का हिस्सा होते हैं ना वो इतनी आसानी से
1112.96,5.52,नहीं छूटते तो अब तुम उसे जान
1116.52,6.2,कहोगे
1118.48,10.17,जी जब निकलने लगी तो पता
1122.72,5.93,[संगीत]
1132.28,4.56,चला उसे वैसे भी तैयार होने के लिए थोड़ी
1135.28,4.48,सी हेल्प चाहिए होती है ना उसको पता ही
1136.84,6.959,नहीं है चीजें कहां पड़ी हुई है परेशान ना
1139.76,7.84,हो जाए हाला वो इतने साल मुझ से बाहर
1143.799,5.841,अकेला रहा है सब मैनेज कर लेगा वो खुद तो
1147.6,5.12,तुम यह कहना चाह रही हो
1149.64,5.399,कि मैं उसकी जिंदगी में हूं या ना हूं उसे
1152.72,5.76,कोई फर्क नहीं पड़ता उसे मेरी कमी महसूस
1155.039,5.961,नहीं होगी किस बात की हिम्मत उसका हाल
1158.48,2.52,पूछने की
1162.36,4.319,अम्मी पिछले तीन घंटे में तीन लफ्ज नहीं
1165.84,3.6,जोड़
1166.679,8.161,पाया मेरा
1169.44,8.68,दिल से जा मिला है रब से जिसको मांगा तू
1174.84,3.28,वो सिला
1178.159,7.361,है तुम ठीक तो हो ना हला जी ड बस थो सांस
1183.12,2.4,खूल
1185.559,6.681,गया इजी हो जाओ पैर ऊपर करलो
1189.24,6.55,हा दे दो थैंक
1192.24,6.74,यू शाबाश
1195.79,3.19,[संगीत]
1199.0,6.4,यह अपार्टमेंट किसका है गाजी अंकल डड के
1202.76,5.039,फ्रेंड जब वो लंडन आते हैं ना हमारे घर पर
1205.4,6.2,स्टे करते अब हम यहां आए तो उनके घर पर
1207.799,7.401,रहेंगे बहुत प्यारा सेट किया हुआ हमें पता
1211.6,5.84,है यह रंग मुझे सबसे ज्यादा पसंद है कलर
1215.2,4.839,सिलेक्शन तो डैड ने की है उन्होंने बताया
1217.44,5.4,कि यह तुम्हारा फेवरेट कलर है नहीं वो
1220.039,5.361,बचपन में ढेर सारे खिलौने और कपड़ों से
1222.84,6.5,तुम हमेशा पर्पल ही चूज करती थी तो मुझे
1225.4,7.48,लगा कि शायद अब भी तुम्ह पर्पल पसंद होगा
1229.34,7.94,[संगीत]
1232.88,8.039,बड़े होने के बाद चॉइस कहीं बदली तो
1237.28,7.8,नहीं मुझ में कुछ नहीं बदला
1240.919,8.12,डड मैंने आपसे कहा ना वक्त गुजर गया लेकिन
1245.08,6.32,मैं वही खड़ी उदास होने का टाइम नहीं है य
1249.039,6.801,डड आप हमारे लिए कुछ खाने का अरेंजमेंट कर
1251.4,8.399,रहे थे ना हां भाई हां बस पा मिनट में आ
1255.84,3.959,और इनके लिए खास दलिए
1264.559,3.881,हा ऐसे थोड़ी मारते हैं ताली जोर से
1269.27,3.14,[संगीत]
1275.44,6.0,मारो नहीं रह सकती
1278.4,8.159,वकास मेरी मां ने मेरे इर्द गिर्द एक बहुत
1281.44,7.76,गहरा जान बन दिया है बाहर आ जाओ निकल आओ
1286.559,6.24,मकान कैसे
1289.2,6.44,मेरा लोन तक जाना मना कर दिया
1292.799,5.12,उन्होंने मैं तुम्ह बता रही हूं या तो मैं
1295.64,5.159,किसी को मार दूंगी रना खुद तो मर ही
1297.919,6.801,जाऊंगी य भड़कने का वक्त नहीं है यह पुर
1300.799,6.321,सकून रहने का वक्त है कैसे रह पुर सकून
1304.72,8.319,देखो रोमी सबसे इंपोर्टेंट है तुम्हारा घर
1307.12,5.919,से बाहर निकलना अब मेरी बात गौर से सुनो
1314.29,3.12,[संगीत]
1323.62,3.13,[संगीत]
1330.6,3.72,तुम रो क्यों रही हो हाला
1335.0,8.12,प्लीज मुझे घर छोड़ के नहीं आना चाहिए
1338.36,10.52,था क्या तुमने बाकी घर छोड़ दिया है
1343.12,10.48,हा नहीं हां या नहीं
1348.88,8.64,मुझे खोने से डर लग रहा है किसे घर
1353.6,3.92,को हमसा
1357.72,4.559,को जब कोई फैसला कर लेते हैं ना उस पर
1360.76,5.039,खड़े रहते
1362.279,8.121,हैं अगर दुख हो रहा हो तब
1365.799,7.76,भी देखो हाला कभी-कभी इलाज के लिए बहुत
1370.4,7.08,गहरा कट लगाना पड़ता है लेकिन वक्त के साथ
1373.559,5.641,सब ठीक हो जाता है लिसन टू मी तुम कुछ भी
1377.48,4.12,नेगेटिव नहीं सोचो
1379.2,4.4,को पॉजिटिव रखना है खुद को फिजिकली
1381.6,4.36,स्ट्रंग भी करना है और सबसे इंपोर्टेंट
1383.6,3.56,मेंटली स्ट्रंग करना है तुम्ह अपने आप को
1385.96,6.319,ठीक
1387.16,8.2,[संगीत]
1392.279,6.201,है क्या हो गया पीछे हटो
1395.36,6.72,हूंगी जब तक आप मुझे माफ नहीं करेगी मैं
1398.48,6.76,नहीं हूंगी छोड़ो ना मैं पता नहीं कैसे
1402.08,3.16,उसकी बातो में आ
1405.559,6.281,गई चुप कर जा कोई सुन लेगा तो मैं क्या जा
1408.679,4.201,दी रूमी क्यों रो रही है रूमी अपनी से
1411.84,6.04,माफी
1412.88,8.96,मांग किसी को क्या अ मुझे माफ कर मुझे
1417.88,3.96,नहीं पता बा में कैसे आ
1422.0,4.72,गस
1423.76,6.32,बस तुम्हें अपनी गलती का एहसास हो गया ना
1426.72,6.839,यह बहुत काफी है माए जो है ना व अपने
1430.08,7.4,बच्चों के लिए बेहतरीन चीज चुनती है देखा
1433.559,6.36,ना तुमने रमीज को कोई मुकाबला है उस सड़क
1437.48,6.4,छाप लोफर लड़के कसे उसका काम तो सिर्फ
1439.919,3.961,अमीर घराने की शरीफ लड़कियों को फसाना है
1444.0,3.76,बस जा इधर
1447.799,6.12,बैठो बस बस करो
1451.12,5.96,रोना कभी-कभी बच्चों को लगता है कि माए
1453.919,6.401,उनकी दुश्मन है लेकिन बच्चों के लिए माओ
1457.08,3.24,से बेहतर कोई नहीं सोच
1464.399,4.0,सकता बस
1475.53,3.16,[संगीत]
1504.96,6.079,मुझे पता चला उस दिन जो कुछ भी
1507.76,6.039,हुआ मैं पिछले 20 सालों से शोभे से मुसल
1511.039,6.12,हूं बच्चों से अक्सर इस तरह की हिमाकत हो
1513.799,6.161,जाया करती है नमरी और नासमझी का जमाना
1517.159,5.12,होता है यह हर चमकती चीज को सोना समझ
1519.96,2.319,बैठते
1522.48,6.04,हैं लेकिन मुझे इस बात की बहुत खुशी हुई
1525.52,5.399,कि आपने रिवाय माओ की तरह बिहेव नहीं किया
1528.52,6.36,बल्कि उस पर एतमाद करके उसे खुद कॉलेज साथ
1530.919,6.081,लेकर आई दरअसल वो बहुत शर्मिंदा है और अगर
1534.88,4.24,मैं उस पर एतमाद नहीं करूंगी तो फिर वह
1537.0,5.08,किससे उम्मीद रखेगी
1539.12,6.159,मैं इसलिए हाजिर हुई थी कि आपसे गुजारिश
1542.08,6.52,करनी थी अब रूमी को लेने और छोड़ने या मैं
1545.279,6.481,आऊंगी या उसके फादर उसके अलावा वह कॉलेज
1548.6,4.72,से ना निकले ठीक आप मेरी बात समझ रही है
1551.76,7.56,ना जी
1553.32,9.0,जी थैंक यू थैंक यू सो मच वेलकम जा
1559.32,3.0,बिलकुल
1563.77,6.549,[संगीत]
1585.83,15.14,[संगीत]
1602.0,7.52,आ बेटा अ आप आग आप तब जाएंगे बाहर क्यों
1606.039,5.681,आपकी अमी आएगी आप तब जाएंगे ये सब तो जा
1609.52,5.96,रही है आपको अला नहीं किया गा आपके वा
1611.72,3.76,आएंगे तब जाएंगे आप
1631.22,11.149,[संगीत]
1647.7,3.079,[संगीत]
1664.61,3.72,[संगीत]
1675.11,3.1,[संगीत]
1688.13,7.179,[संगीत]
1699.52,8.259,[संगीत]
1710.97,16.66,[संगीत]
1728.24,3.679,समीन आईम
1732.799,6.441,सॉरी
1735.279,7.681,सॉरी किस किस बात पर सॉरी
1739.24,6.52,बताओ हर उस बात के लिए हर उस बात के लिए
1742.96,2.8,जिससे तुम्हे तकलीफ
1748.0,6.48,पहुंची प्लीज
1750.36,7.319,सम प्लीज तुम्हारा यह तुम्हारे य रोना
1754.48,4.52,नहीं देख सकता मैं मुझे मुझे तकलीफ पहुंचा
1757.679,3.641,रहा
1759.0,5.24,है मेरे
1761.32,5.92,आंसू जितनी मुझे तकलीफ देते हैं उतनी किसी
1764.24,6.48,और को नहीं दे सकते समीन तुम्हारी मजबूती
1767.24,8.159,और बामा ही तुम्ह सबसे जुदा करता
1770.72,6.12,है जबक भाल व एक बुजदिल बेबस और बेजर
1775.399,6.52,लड़की
1776.84,8.24,थी डरी सहमी जिसे बाप की लापरवाही और ताई
1781.919,6.161,की बेसी ने उसे बेचारा कर दिया था मुझे उस
1785.08,5.479,पर र्स आता था समी और हमने उसे मोहब्बत का
1788.08,5.88,नाम दे दिया मुझे उसकी बेचार कीी अच्छी
1790.559,6.881,लगने लगी क्योंकि दूसरी तरफ शफक की बाइरी
1793.96,6.68,के आगे मेरी कम हैसियत थी मेरी इज्जत नफ्स
1797.44,3.2,को हर पल रुसवा करती
1801.039,6.801,थी शफक
1803.679,4.161,मेरी मेरी खाला जात पंगे
1808.6,7.919,त समीन मेरा बाप मर गया
1812.72,9.72,था सि खालू ही थे जिन्होंने सहारा
1816.519,9.201,दिया मान दिया भरोसा नहीं
1822.44,6.959,किया और जमीन तुम्हारे साथ मेरा
1825.72,5.32,रिश्ता जो कहीं आसमानों पर त
1829.399,12.72,सब कुछ खुद
1831.04,11.079,[संगीत]
1843.2,4.319,बखुदा खूबसूरत
1845.36,5.88,था
1847.519,5.961,और और जहां तक बात रही हाला की हाला और
1851.24,7.24,मेरा रिश्ता बहुत अजीब सा रिश्ता बन गया
1853.48,7.72,था एक जगह शफक का हावी अंदाज और दूसरी जगह
1858.48,6.64,हाला का सहमा अंदाज आपस में इंटरकट करने
1861.2,7.4,लगा था लेकिन समीन जब मैं तुमसे मिला
1865.12,5.36,तो ये अंदाजा गलत साबित हुआ मुझे ना तो
1868.6,3.559,हालत जैसी डरपोक लड़की चाहिए थी और ना ही
1870.48,4.6,शफक
1872.159,5.201,जैसी समीन मुझे तो तुम्हारी जैसी जो मेरे
1875.08,4.12,साथ कदम से कदम मिलाकर चल सके ऐसा लाइफ
1877.36,3.199,पार्टनर चाहिए था
1879.2,6.24,[संगीत]
1880.559,4.881,बस अब तुम बहुत बोल चुके
1885.679,7.621,हो अब मैं बोलूंगी
1889.1,4.2,[संगीत]
1901.559,6.321,सॉरी मुझे मुझे देर हो
1903.96,7.959,गई वो य
1907.88,5.84,ये य ग्लिटर व मेरी फ्रेंड की बर्थडे
1911.919,3.36,पार्टी थी ना लास्ट पीरियड में तो मैंने
1913.72,4.439,उन्हें मना भी किया
1915.279,5.4,था क्या करती हो तुम लड़कि कॉलेज ये
1918.159,5.571,हरकतें करने की क्या जरूरत थी इतना ग्लिटर
1920.679,9.61,लगा लिया मुंह पे बालों में भी
1923.73,6.559,[संगीत]
1936.2,9.68,सारा गुड
1939.279,10.561,मॉर्निंग मैम यर ब्रेकफास्ट इज हियर थैंक
1945.88,3.96,यू वार्म मिल्क फम
1953.88,4.29,देखो मेरा मानना है कि जब सो गए तो रात
1956.519,4.16,जाग गए तो
1958.17,3.55,[संगीत]
1960.679,2.84,सुबह
1961.72,6.799,[संगीत]
1963.519,9.321,हला तबीयत ठीक है तुम्हारी हां
1968.519,7.04,वो बस हमजा का ख्याल आ रहा था वो जुम्मे
1972.84,7.839,के दिन उसको शलवार कुर्ता चाहिए होता
1975.559,7.201,है जुमे रात है हालात आज हां लेकिन उसे
1980.679,3.561,वैसे भी तैयार होने के लिए थोड़ी सी हेल्प
1982.76,5.48,चाहिए होती है ना उसको पता ही नहीं है
1984.24,7.679,चीजें कहां पड़ी हुई है परेशान ना हो जाए
1988.24,7.2,हाला वो इतने साल मुझसे बाहर अकेला रहा है
1991.919,4.801,सब मैनेज कर लेगा वो खुद तो तुम यह कहना
1995.44,4.4,चाह रही हो
1996.72,5.4,कि मैं उसकी जिंदगी में हूं या ना हूं उसे
1999.84,5.64,कोई फर्क नहीं पड़ता उसे मेरी कमी महसूस
2002.12,6.03,नहीं होगी मैंने ऐसा कुछ नहीं कहा ला खैर
2005.48,5.52,नाश्ता कर लो मेडिसिन देनी है तुम्हें
2008.15,6.489,[संगीत]
2011.0,7.48,मैं उसे कॉल कर लू कोई जरूरत नहीं
2014.639,6.52,है मैं उससे झगड़ा करके नहीं आई हूं
2018.48,5.199,बिल्कुल लेकिन उसने तुम्हें कॉल क्यों
