Start Time (s),Duration (s),Text
104.96,6.199,और अपने जो हाथी ब्रा तो डायरेक्ट ट्रैक
108.399,5.441,और जेठा ब्रा जो है वो है
111.159,4.761,टेमो और अपने साइंटिस्ट साहब यानी अय्यर
113.84,4.33,जी जो है ना ये तो है रिक्शा बड़ा कसड्डी
115.92,3.64,सा है इनका वो
118.17,3.75,[प्रशंसा]
119.56,4.44,बकड़े क्या बोल रहा है ओ कुछ नहीं बोल रहा
121.92,4.64,हूं सच्चाई बता रहा हूं यार ओ अपने
124.0,5.28,सेक्रेटरी साहब जिसे नाम है पिड़ू सा और वो
126.56,5.44,तो है टैक्सी ओ जब तक सवारी नहीं आती तब
129.28,5.36,तक गड्डी चलती नहीं है
132.0,4.879,ओ छोटी भिड़े टैक्सी नहीं पुराना स्कूटर है
134.64,5.84,अपना।
136.879,5.761,और अपने मेहता साहब वो तो है मोटरसाइकिल।
140.48,5.04,मोटरसाइकिल स्पोर्ट्स कार से कहां जीत
142.64,5.84,पाएगी? अरे सोनी तू रॉकेट को भूल गया हैं।
145.52,6.24,अरे ये रॉकेट तो फिसड्डी है। इसको पहले
148.48,6.479,कैंसिल कर दिया।
151.76,6.32,अरे भाई सो एक बात तो तुझे मालूम ही होगी
154.959,7.121,कि जो पतंग सबसे ज्यादा ऊपर उठती है वही
158.08,7.12,सबसे पहले कटती है। अगर तू खिलाड़ी है तो
162.08,5.6,हम क्या अनाड़ी है? वाह। एक मिनट 1 मिनट
165.2,5.52,मेरा को कुछ कहना है? देखिए ये खेल है ना
167.68,6.639,ताकत से नहीं अकल से जीते जाते हैं और
170.72,7.56,सबसे ज्यादा अकल मेरे पास में क्योंकि मैं
174.319,8.721,साइंटिस्ट हूं इसलिए मैं ही जीतूंगा। ओ
178.28,8.28,अकल कभी आईने में देखिए अपनी शक्ल।
183.04,6.0,ओ अय्यर सबसे ज्यादा अकल मेरे पास है। ये
186.56,5.2,कह के आपने सबके सामने जो अपनी अक्कल का
189.04,6.16,प्रदर्शन किया है उससे ये तो जरूर पता चल
191.76,3.44,गया कि कौन जीतेगा।
195.599,8.161,हां तो अय्यर भाई छाते की कसम मेडल जीतने
200.4,5.839,के लिए मैं दुनिया हिला दूंगा।
203.76,4.64,पोपट भाई हम यहां देखने के लिए थोड़ी आए
206.239,5.521,हैं। मेडल के लिए हम भी जान लगा देंगे।
208.4,5.759,हां जोश में मेहता साहब आपका क्या कहना
211.76,4.24,है? भाई यहां लोग बड़े-बड़े दावे कर रहे
214.159,5.281,हैं जीतने के लिए। पर मैं तो यही कहूंगा
216.0,6.799,कि बड़े-बड़ाई ना करे बड़े ना बोले बोल और
219.44,5.439,हीरा मुख से ना कहे कि लाख हमारा मोह।
222.799,4.561,तो हमारा अंदाज तो आप खेल के मैदान में ही
224.879,5.36,देखिएगा वहां पता चल जाएगा।
227.36,6.12,तो दोस्तों देखा आपने गोकुल धाम वासियों
230.239,3.241,का जोश।
234.1,3.96,[संगीत]
239.68,5.759,चाचा जी कुछ लोग यहां पे कहते हैं नसीब से
242.72,5.68,जीत सकते हैं। कुछ कहते हैं अकल से जीत
245.439,5.601,सकते हैं। कुछ कहते हैं छाते से और कुछ को
248.4,6.64,लगता है कि वो ताकत से जीत सकते हैं। आपको
251.04,6.199,क्या लगता है? देखो किसी भी खेल में ताकत
255.04,5.28,और अकल से भी ज्यादा जरूरी होती है
257.239,6.121,एकाग्रता। इसलिए जो सबसे ज्यादा एकाग्र
260.32,6.24,रहेगा वही खेल में जीतेगा। चाचा जी ने
263.36,6.72,बहुत ही पते की बात बताई। चलिए अब बात
266.56,7.199,करते हैं गोकुल धाम की स्त्री शक्ति से।
270.08,6.16,रोशन भाभी आप कुछ बताइए ना। आप जरा टेंशन
273.759,4.72,में लग रही हैं। कुछ बोलिए। अभी तो मुझे
276.24,4.88,इस बात का टेंशन हो रहा है कि कौन-कौन से
278.479,5.44,गेम्स खेले जाने वाले हैं।
281.12,4.56,"बबीता जी, यू नो व्हाट? एग्जाम्स के टाइम"
283.919,3.28,पे हमें कैसे टेंशन होती है कि पता नहीं
285.68,4.799,कौन से क्वेश्चन्स आने वाले हैं?
287.199,7.361,एक्जेक्टली वैसा टेंशन अभी हो रहा है।
290.479,7.44,बट बट इट्स अ लॉट ऑफ़ फन।
294.56,5.76,"कोमल भाभी, ताकत से खेली जाने वाली हर गेम"
297.919,5.84,हम ही जीतेंगे।
300.32,5.28,माधवी भाभी आप कुछ प्रार्थना कर रही हैं।
303.759,4.401,हां क्योंकि मैं चाहती हूं कि स्कूल में
305.6,7.28,जैसे गेम्स होते थे ना लंगड़ी खोखो अगर
308.16,8.479,वैसे गेम्स आ जाए ना तो मैं सबको हराऊंगी।
312.88,6.72,अंजलि भाभी आपका क्या कहना है? सच बताऊं
316.639,5.28,खेल चाहे जो भी हो पर हम सबको उसे
319.6,6.0,स्पोर्ट्समैन स्पिरिट के साथ खेलना चाहिए।
321.919,7.041,मैं खेलूंगी भी और जीतूंगी भी। दया भाभी
325.6,6.56,आप भी तो कुछ बोलिए। मैं सभी को जीतने के
328.96,6.16,लिए शुभकामनाएं दूंगी। वाओ क्या
332.16,6.319,स्पोर्ट्समैन स्पिरिट है? बात अभी बाकी है
335.12,5.799,मेरी दोस्त। वो शुभकामनाएं इसलिए क्योंकि
338.479,6.0,मेरे से जितनातना आसान नहीं
340.919,7.72,है। मुझसे जीतने के लिए कड़ा मुकाबला करना
344.479,7.44,पड़ेगा इन सभी को। क्या बात है। बहुत दया।
348.639,7.12,इतना घमंड मत कर। अभी ये मेहता साहब ने
351.919,7.441,बोला याद है ना? हीरा मुख से ना बोले लाख
355.759,6.88,हमारा मोल हां माय डियर जीजा जी ये घमंड
359.36,6.08,नहीं ये आत्मविश्वास है मेरी बहना का बहुत
362.639,6.4,ज्यादा है मेरी मां कहती है कि जिनमें
365.44,7.12,आत्मविश्वास हो वो हर बाजी जीत जाता है
369.039,9.041,क्या बात है और मां ने एक गुरु मंत्र भी
372.56,6.85,दिया है खेलो तो जीतने के लिए ओ वाह वाह
378.08,4.619,वाह
379.41,3.289,[प्रशंसा]
382.79,3.879,[संगीत]
394.639,6.68,तो टप्पू अब खेल महोत्सव शुरू करें। श्योर
397.919,3.4,बता अंकल।
402.66,5.06,[संगीत]
410.72,4.88,क्या बात है। मैं आप सभी का आज की इस
413.28,4.56,ऐतिहासिक शाम में हार्दिक स्वागत करता
415.6,5.999,हूं। अभिनंदन करता हूं। आज की शाम जो
417.84,6.58,गोकुल धाम में एक नई उमंग और नई उत्साह के
421.599,5.001,साथ प्रारंभ होने जा रही
424.42,4.82,[संगीत]
426.6,6.84,[प्रशंसा]
429.24,9.28,है। एक ऐसी शाम जिस शाम से शुरुआत होगी
433.44,7.92,गोकुलधाम खेल महोत्सव यानी कि जीकेएम
438.52,5.32,की। और मैं जानता हूं टप्पू सेना ने जो
441.36,7.08,शानदार आयोजन किया है आप सभी को बेहद पसंद
443.84,7.759,आया होगा। आया कि नहीं? बढ़िया बढ़िया। एकदम
448.44,5.56,बढ़िया एकदम
451.599,4.641,थैंक यू थैंक यू क्या बात है क्या बात है
454.0,4.8,भाई डबू सेना बहुत-बहुत धन्यवाद आप सभी का
456.24,4.88,आपने बहुत शानदार आयोजन किया है खेल
458.8,5.92,महोत्सव खेल हमारे जीवन में बहुत बहुत
461.12,6.32,बहुत जरूरी है खेल हमें जोश देते हैं उमंग
464.72,5.759,देते हैं उत्साह देते हैं और खेल हमारी
467.44,5.759,जिंदगी से आलस्य को चलता कर देते हैं तो
470.479,5.521,आलस्य भगाने के लिए हम खेलेंगे ऐसे ऐसे
473.199,5.521,खेल जिसे खेल के आप सब लोग दांतों तले
476.0,5.68,उंगली दबा देंगे और दो गोदाम खेल महोत्सव
478.72,5.44,होगा कामयाब। लेकिन इस खेल महोत्सव का
481.68,5.04,प्रारंभ करने से पूर्व मैं आपको मिलाना
484.16,5.12,चाहता हूं कुछ खास लोगों से। सबसे पहले
486.72,5.039,मैं बुलाना चाहता हूं उन दो मेहमानों को
489.28,5.44,जो इस खेल में हमारा सहयोग करेंगी। मिस
491.759,6.12,रोजी एंड मिस लुसी। प्लीज गिव अ बिग राउंड
494.72,3.159,ऑफ़ अप।
501.23,3.099,[संगीत]
505.759,6.081,थैंक यू वेरी मच। थैंक यू। तो मिस लसी और
509.68,4.479,मिस रोजी हमें इस खेल महोत्सव में सहयोग
511.84,5.999,करेंगी। आइए अब मैं बुलाना चाहता हूं इस
514.159,6.641,मंच पे चंपक चाचा को कि वे यहां आए और
517.839,5.12,हमें इस कार्यक्रम के इस खेल महोत्सव के
520.8,6.0,जजेस के बारे में बताएं। जोरदार तालियों
522.959,6.991,से स्वागत कीजिए चंपक चाचा जी का।
526.8,3.15,[संगीत]
532.24,6.85,आइए चाचा
533.38,5.71,[संगीत]
539.24,9.0,जी हां जी बापूजी कौन जज कौन है लेकिन
545.279,7.841,अरे बताता हूं भाई वही बताने आया हूं आज
548.24,8.56,के हमारे जो निर्णय यानी कि जजेस हैं वो
553.12,7.6,एकदम ईमानदार और निष्पक्ष फैसला करने वाले
556.8,6.4,जी। अरे पर चाचा जी जज है कौन? अरे तुम सब
560.72,4.72,लोग उन्हें अच्छी तरह से जानते हो। अरे
563.2,5.12,चाचा जी पहेलियां मत बुझाइए। बता भी दीजिए
565.44,5.68,कौन है जज? कौन है चाचा जी। अरे उसमें
568.32,5.6,बताना क्या? तुम सबको मिलवा ही देता हूं
571.12,6.64,हैं। हां जरूर जरूर। हां तो गोकुलधाम
573.92,7.2,वासियों तालियों से स्वागत कीजिए। हमारे
577.76,6.72,आज के गोकुलधाम खेल महोत्सव के दोनों
581.12,7.27,निर्णायक यानी जजेस का।
584.48,7.449,कौन है भाई? कौन है यार? पता करो ना।
588.39,3.539,[प्रशंसा]
596.17,5.789,[संगीत]
597.88,4.079,पता हम्म
603.62,7.12,[संगीत]
622.399,3.801,लड्डू और
629.96,3.719,[प्रशंसा]
630.55,3.129,[संगीत]
634.519,9.76,आ हा आ अरे इनको किसने जज बनाया? मैंने तो
640.64,7.199,बाबूजी सॉरी लेकिन ये लोग जज नहीं चलेंगे।
644.279,5.8,अरे ए बाबू ये क्या ये दोनों हमारी
647.839,4.961,सोसाइटी के नहीं है इसलिए निष्पक्ष फैसला
650.079,5.721,करेंगे।
652.8,3.0,बापूजी
656.72,3.559,मुझे नहीं लगता मेरे पक्ष में कोई भी
658.72,5.04,निर्णय होगा।
660.279,5.841,करेक्ट करेक्ट डिसीजन लिया है चाचा जी ने।
663.76,6.68,बापू जी एक्सक्यूज
666.12,8.92,मी माय डियर रिस्पेक्टेड सेठ जी आई नो योर
670.44,8.04,कंसर्न बट डोंट टेक टेंशन मैं आपके साथ
675.04,6.239,बिल्कुल निष्पक्ष न्याय करूंगा आज भी
678.48,6.24,हमारे ऊधाई और वन नगर गांव की पंचायत जो
681.279,6.881,फैसला नहीं कर पाती है वो फैसला एक मिनट
684.72,5.84,में ये नटवर लाल प्रभाकर ऊई वाला फटाक से
688.16,4.96,कर देता है।
690.56,4.399,अरे क्या फेंक रहा है नाटो काका कितने
693.12,3.88,टाइम से आप गांव तक गए नहीं फिर फैसला
694.959,5.481,कैसे करते हो
697.0,6.12,टेक्नोलॉजी माय डियर रिस्पेक्टेड सेठ जी
700.44,5.56,टेक्नोलॉजी मैं फोन पर से ही अपना फैसला
703.12,5.6,सुना के न्याय कर देता हूं क्या बात है
706.0,4.88,क्या बात
708.72,4.32,बहुत-बहुत धन्यवाद नटू काका आपके शानदार
710.88,5.04,एक्सप्लेनेशन के लिए थैंक यू मेहता जी
713.04,5.6,थैंक यू जेठालाल अब हमारे जजेस नटू काका
715.92,4.479,और बाघा ही है चंपक चाचा चाचा जी ने
718.64,4.639,इन्हें जजेस बनाया है तो मुझे पूरी उम्मीद
720.399,7.12,है कि ये निष्पक्ष निर्णय लेंगे और इनका
723.279,6.161,फैसला आखिरी फैसला होगा। हां मंजूर है।
727.519,3.841,लेकिन अब मैं अनुरोध करता हूं हमारे
729.44,4.16,सोसाइटी के सबसे सम्माननीय बुजुर्ग श्री
731.36,5.0,चंपक चाचा से कि हमारे खेल महोत्सव की
733.6,5.44,मशाल लेकर उसे वो गंतव्य स्थान तक
736.36,4.84,पहुंचाए। और अनुरोध करता हूं टप्पू सेना
739.04,5.799,से कि वो मशाल लेकर आए ताकि इस खेल
741.2,6.8,महोत्सव की एक शानदार शुरुआत की जा
744.839,14.471,सके। आओ आओ आओ आओ क्या
748.0,17.029,[संगीत]
759.31,5.719,[प्रशंसा]
771.24,3.12,[संगीत]
783.15,3.17,[संगीत]
790.92,3.18,[प्रशंसा]
791.96,6.34,[संगीत]
794.1,5.58,[प्रशंसा]
798.3,4.26,[संगीत]
799.68,6.08,गोकुलधाम खेल महोत्सव की शानदार शुरुआत हो
802.56,6.32,चुकी है। जिस तरह ये मशाल प्रज्वलित हुई
805.76,5.4,है। हम लोगों ने गोकुलधाम खेल महोत्सव के
808.88,6.639,प्रारंभ का दीप भी प्रज्वलित कर दिया
811.16,6.679,है। अब इस महोत्सव का शानदार आगाज करने के
815.519,4.88,पहले मैं आपको कुछ जानकारियां देना चाहता
817.839,5.44,हूं। यह महोत्सव दो रात्रि का होगा और ये
820.399,4.961,खेल कई तरीके से होंगे। ये पारिवारिक रूप
823.279,4.281,से खेले जाएंगे। व्यक्तिगत रूप से खेले
825.36,5.12,जाएंगे। पति पत्नी के रूप में भी खेले
827.56,5.64,जाएंगे और आखिर में एक स्पेशल गेम होगा
830.48,5.44,जिसकी जानकारी आपको तभी मिलेगी और जो भी
833.2,5.68,इस खेल में सर्वश्रेष्ठ प्रदर्शन करेगा
835.92,5.96,उसे हम गोकुलधाम खेल रत्न का पुरस्कार भी
838.88,3.0,देंगे।
842.06,4.98,[प्रशंसा]
845.12,4.56,आ गया
847.04,4.799,दोस्तों मशाल तो प्रज्वलित हो ही चुकी है
849.68,4.24,और मौसम भी शानदार हो गया है हमारे इस
851.839,4.401,गोकुलधाम खेल महोत्सव के लिए और मुंबई तो
853.92,5.76,मुंबई है आप जानते हैं यहां बारिश का कोई
856.24,5.92,भरोसा नहीं ये कभी भी बरस सकती है लेकिन
859.68,4.399,दोस्तों हम भी गोकुलधाम के निवासी हैं। आप
862.16,4.88,जानते हैं कि गोकुलधाम वाले अगर कुछ करने
864.079,6.721,की ठान लेते हैं तो पीछे नहीं हटते। अब
867.04,7.96,चाहे बादल बरसे या बिजली चमके गोकुलधाम
870.8,4.2,खेल महोत्सव जारी रहेगा।
876.53,3.19,[प्रशंसा]
882.82,9.71,[संगीत]
894.48,7.919,आओ मिलजुलकर हम इस जीवन में रंग भरे बजे
898.88,7.759,बिगुल खुशियों के कण-कण में उमंग भरे
902.399,8.401,कण-कण में उमंग भरे भूल जाए तनावों को
906.639,5.511,दुखों को ना झेले हाथों में हाथ डालकर
910.8,6.929,मिलकर खूब खेले
912.15,5.579,[संगीत]
917.959,8.761,होम जो हंसता है यहां पर बस उसी की हस्ती
925.04,4.799,है।
926.72,8.479,ये गोकुल धाम है यहां पर खुशियां है और
929.839,9.44,मस्ती है। खुशियां है और मस्ती है।
935.199,8.241,जल्दी जागे दौड़े भागे।
939.279,10.081,ऐश करेंगे रेस करेंगे
943.44,9.519,थकने का अब नाम नहीं रुकने का अब काम नहीं
949.36,7.919,मस्त रहेंगे स्वस्थ रहेंगे एनर्जी का डबल
952.959,8.481,डोज़ आओ हम सब ले ले
957.279,8.641,हाथों में हाथ डालकर मिलकर खूब खेलें
961.44,9.959,हाथों में हाथ डालकर मिलकर खूब खेलें वी
965.92,5.479,एंड यू टू थ्री एंड यू
971.839,4.081,हम बच्चे बन जाएंगे।
974.41,5.39,[संगीत]
975.92,3.88,हम बड़ों को हराएंगे।
979.92,6.88,सारे करेंगे खूब धमाल। तब देखेंगे हमारा
983.36,9.14,कमाल। जब देखेंगे हमारा कमाल। जागेंगे हम
986.8,7.68,सोएंगे नहीं। चोट खाएंगे पर रोएंगे नहीं।
992.5,6.699,[प्रशंसा]
994.48,9.919,और मस्ती याद रहे भूले सब झमेले हाथों में
999.199,9.521,हाथ डालकर मिलकर खूब खेले मिलकर खूब खेले
1004.399,8.081,आओ मिलजुलकर हम इस जीवन में रंग भरे बजे
1008.72,8.4,बिगुल खुशियों के कण कण में उमंग भरे कण
1012.48,9.24,कण में उमंग भरे भूल जाए तनाव को दुखों को
1017.12,9.26,ना झेले हाथों में हाथ डालकर मिलकर खूब
1021.72,11.479,खेले दिन खेले कर
1026.38,10.02,[संगीत]
1033.199,6.961,तो प्यारे खिलाड़ियों गोकुल धाम खेल
1036.4,5.24,महोत्सव 2011 की शुरुआत हम नींबू चम्मच की
1040.16,4.48,दौड़ से
1041.64,3.0,करेंगे। बहुत
1045.0,5.48,बहुत है। अरे ये तो आता आता है। बच्चों का
1048.4,5.12,खेल है ये। अब्दुल तो नींबू चंब से रोज
1050.48,6.319,खेलता है।
1053.52,5.36,ये खेल आपको व्यक्तिगत तरीके से जीतना
1056.799,5.12,होगा।
1058.88,6.64,एंड माय डियर फ्रेंड्स यू ऑल नो दैट कि ये
1061.919,7.921,बैलेंस का खेल है। बैलेंस का हमारे जीवन
1065.52,6.0,में बहुत ही महत्व है। वेरी वेरी वेरीेंट।
1069.84,3.14,बिल्कुल सही कहा। का बैलेंस है तो फोन भी
1071.52,3.2,नहीं कर सकते।
1072.98,6.54,[संगीत]
1074.72,8.04,हे सॉरी सॉरी अगर आप पति हो तो मां और
1079.52,7.44,पत्नी के बीच में बैलेंस रखना जरूरी
1082.76,6.72,है। अगर आप स्टूडेंट हो तो पढ़ाई और खेल
1086.96,7.36,के बीच में बैलेंस रखना जरूरी
1089.48,7.64,है। और अगर आप नौकरी करते हो तो मेहनत और
1094.32,6.32,पगार के बीच में बैलेंस रखना जरूरी है।
1097.12,5.919,ट्राई। छट्टू काका बोलने का मौका मिले तो
1100.64,5.039,कब कितना बोलना चाहिए उसका भी बैलेंस रखना
1103.039,4.841,आना चाहिए।
1105.679,7.801,सेठ
1107.88,8.679,जी वो तो जैसी जिसकी सोच ए चुप रे। तू चुप
1113.48,6.12,रे। जज के साथ कैसे बात करते हैं उसका
1116.559,8.201,बैलेंस रखना भी आना चाहिए। सॉरी सॉरी बापू
1119.6,5.16,जी। मुझे सॉरी मत बोल। बाघा को सॉरी बोल।
1124.799,5.041,इट्स ओके सेठ जी।
1126.88,6.4,आज तो सभी खिलाड़ियों का नींबू चम्मच में
1129.84,7.199,बैलेंस होना बहुत जरूरी है। आप सभी को
1133.28,7.84,चम्मच में नींबू रखकर वहां सामने जो सीमा
1137.039,6.481,रेखा है। मैं तो कमाल है।
1141.12,4.559,आप तो बता रहे थे कि इनका नाम रोजी और
1143.52,4.64,लुसी है।
1145.679,4.201,पर ये लोग बता रहे हैं कि इनका नाम सीमा
1148.16,4.639,और लेखा
1149.88,5.08,है। इन्होंने नाम बदल दिया। आपको बताया कि
1152.799,6.401,नहीं?
1154.96,6.079,रोशन नहीं भाई नहीं अरे सूड़ी तू समझा नहीं
1159.2,6.839,मेरे भाई सीमा रेखा का मतलब है यहां पे
1161.039,5.0,बाउंड्री लाइन हां अच्छा
1167.12,4.4,वो क्या है ना शिक्षक साहब को बस मौका
1169.28,6.639,मिलना चाहिए तो ये सिखाना शुरू कर देते
1171.52,7.44,हैं और मैं मजाक कर रहा था ओह हो
1175.919,5.76,छोटी आजकल मजाक बहुत करता है तू आपको खुश
1178.96,5.76,करने की कोशिश करता हूं जी तो आपको ये भी
1181.679,6.0,पता होगा कि यहां लाइन लाइन तक पहुंचने से
1184.72,6.319,पहले अगर किसी भी खिलाड़ी का नींबू चम्मच
1187.679,6.24,से गिर गया तो वो खिलाड़ी आउट हो जाएगा।
1191.039,7.321,समझ गए?
1193.919,9.601,अरे भाई हम गोकुलधाम वासी हैं। हम
1198.36,9.08,लोग बचपन से ही समझदार है रे बापू जी।
1203.52,9.56,वेरी गुड वेरी गुड। तो अभी सभी खिलाड़ी
1207.44,5.64,सामने जाकर लाइन पर खड़े हो जाइए।
1214.23,3.15,[संगीत]
1220.17,5.77,[संगीत]
1228.56,7.35,[संगीत]
1236.48,4.319,दोस्तों उच्च स्वर में बजते हुए ढोल नगाड़े
1238.88,4.32,बजती हुई तालियां ये सब दिखा रहे हैं कि
1240.799,4.401,गोकुल धाम उत्साह और उमंग इस वक्त आसमान
1243.2,4.64,"पे है, चरम पे है और इसलिए उत्साह है कि"
1245.2,4.4,यह गोकुलधाम खेल महोत्सव का महासंग्राम
1247.84,4.079,प्रारंभ होने ही जा रहा है। बस घड़ी आ
1249.6,4.079,चुकी है। यह हंगामे का अश्वमेघ बस दौड़ने
1251.919,4.081,ही वाला है और आप जानते हैं जब अश्वमेघ
1253.679,4.161,दौड़ता है तो उसे कोई नहीं रोक सकता। अब
1256.0,3.679,नींबू चम्मच की रेस यहां होने वाली है
1257.84,4.719,गोकुलधाम में। सारे तैयार हैं और आप तो
1259.679,4.88,जानते हैं कि नींबू एक ऐसी चीज है जो खाने
1262.559,3.761,का स्वाद बढ़ा भी देता है और दांत भी
1264.559,4.321,खट्टे कर देता है। अब यहां ये देखना है
1266.32,4.64,किसे मिलता है जीत का स्वाद और किसके दांत
1268.88,4.32,खट्टे होते हैं हार से। वैसे एक मसला और
1270.96,4.16,भी है। नटू काका और बागा यहां पे जजेस
1273.2,4.32,बने। अब देखना ये है कि जेठालाल की जिंदगी
1275.12,4.64,में वो क्या करने वाले हैं इस खेल महोत्सव
1277.52,4.159,में? क्योंकि अब वो अगर जजेस हैं तो भाई
1279.76,4.56,"हंगामे तो होंगे ही। अब कितने हंगामे,"
1281.679,4.801,कितने सारे खेल और हर खेल के पीछे आपके घर
1284.32,4.16,में खूब सारे ठहाके और खूब सारी खुशियां।
1286.48,4.96,बस मेरे साथ देखते रहिए तारक मेहता का
1288.48,6.24,उल्टा चश्मा। जी।
1291.44,5.84,फॉर मोर अपडेट्स सब्सक्राइब टू आवर चैनल।
1294.72,5.2,क्लिक द शो लिंक्स एंड एंजॉय वाचिंग द
1297.28,12.89,वीडियोस।
1299.92,10.25,[संगीत]
